org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url
ripple,xrpl-wasm-stdlib,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,9,Move xrpl_address_macro into wrpl-wasm-std,2025-10-08T19:29:04Z,2025-10-08,https://github.com/ripple/xrpl-wasm-stdlib/pull/9
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,4,add basic CI from craft,2025-10-07T21:16:10Z,2025-10-07,https://github.com/ripple/xrpl-wasm-stdlib/pull/4
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,6,remove now-unused fixtures,2025-10-07T21:15:54Z,2025-10-07,https://github.com/ripple/xrpl-wasm-stdlib/pull/6
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,5,get build-and-test.sh to work,2025-10-07T21:09:06Z,2025-10-07,https://github.com/ripple/xrpl-wasm-stdlib/pull/5
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,3,add basic stuff for Github,2025-10-07T20:15:18Z,2025-10-07,https://github.com/ripple/xrpl-wasm-stdlib/pull/3
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,2,add examples,2025-10-07T20:07:12Z,2025-10-07,https://github.com/ripple/xrpl-wasm-stdlib/pull/2
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,1,add xrpl-wasm-std,2025-10-07T20:06:55Z,2025-10-07,https://github.com/ripple/xrpl-wasm-stdlib/pull/1
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,242,Remove unused sfield.rs,2025-10-06T21:55:19Z,2025-10-06,https://github.com/ripple/craft/pull/242
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,246,fix: remove `get_ledger_account_hash` and `get_ledger_tx_hash` host functions,2025-10-06T21:23:58Z,2025-10-06,https://github.com/ripple/craft/pull/246
ripple,explorer,nabe3m,https://avatars.githubusercontent.com/u/108178480?v=4,1247,fix: convert CredentialCreate Expiration to readable date format,2025-10-06T20:27:41Z,2025-10-06,https://github.com/ripple/explorer/pull/1247
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,248,Bump cc from 1.2.39 to 1.2.40,2025-10-06T17:01:32Z,2025-10-06,https://github.com/ripple/craft/pull/248
ripple,explorer,Patel-Raj11,https://avatars.githubusercontent.com/u/197821619?v=4,1239,Remove network specific render checks introduced for MPTs,2025-10-01T21:08:29Z,2025-10-01,https://github.com/ripple/explorer/pull/1239
ripple,explorer,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,1240,chore(deps-dev): bump eslint-plugin-prettier from 5.5.1 to 5.5.4,2025-10-01T19:43:15Z,2025-10-01,https://github.com/ripple/explorer/pull/1240
ripple,explorer,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,1241,chore(deps): bump dotenv from 16.4.7 to 17.2.3,2025-10-01T19:17:58Z,2025-10-01,https://github.com/ripple/explorer/pull/1241
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,238,Bump regex from 1.11.2 to 1.11.3,2025-09-30T14:11:38Z,2025-09-30,https://github.com/ripple/craft/pull/238
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,237,Bump cc from 1.2.37 to 1.2.39,2025-09-30T14:05:11Z,2025-09-30,https://github.com/ripple/craft/pull/237
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,236,Bump serde_json from 1.0.140 to 1.0.145,2025-09-29T23:05:12Z,2025-09-29,https://github.com/ripple/craft/pull/236
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,235,Bump serde from 1.0.226 to 1.0.228,2025-09-29T22:59:30Z,2025-09-29,https://github.com/ripple/craft/pull/235
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,230,Fix TokenAmount tracing (Fixed #108),2025-09-29T22:30:57Z,2025-09-29,https://github.com/ripple/craft/pull/230
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,219,doc: `finish` function returns i32,2025-09-29T22:26:58Z,2025-09-29,https://github.com/ripple/craft/pull/219
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,234,Bump quote from 1.0.40 to 1.0.41,2025-09-29T21:06:16Z,2025-09-29,https://github.com/ripple/craft/pull/234
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,233,switch from wasm32-unknown-unknown to wasm32v1-none,2025-09-26T17:21:04Z,2025-09-26,https://github.com/ripple/craft/pull/233
