org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,189,Remove deprecated example,2025-08-05T20:22:04Z,2025-08-05,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/189
hyperliquid-dex,hyperliquid-python-sdk,CantaloupeBob,https://avatars.githubusercontent.com/u/86491214?v=4,186,feat(examples): option to derive account from an encrypted keystore,2025-08-05T19:40:14Z,2025-08-05,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/186
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,188,Version 0.17.0,2025-08-05T19:30:34Z,2025-08-05,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/188
hyperliquid-dex,node,janklimo,https://avatars.githubusercontent.com/u/7811733?v=4,97,Add Purrposeful x HyBridge x PiP seed peers,2025-08-04T01:41:23Z,2025-08-04,https://github.com/hyperliquid-dex/node/pull/97
hyperliquid-dex,node,ygarg25,https://avatars.githubusercontent.com/u/20680996?v=4,96,fix: ASXN migrated mainnet seeds,2025-08-02T09:36:30Z,2025-08-02,https://github.com/hyperliquid-dex/node/pull/96
hyperliquid-dex,node,imperator-co,https://avatars.githubusercontent.com/u/81272306?v=4,95,Update recommended machine specs for validator and non-validator nodes,2025-07-30T14:53:10Z,2025-07-30,https://github.com/hyperliquid-dex/node/pull/95
hyperliquid-dex,hyperliquid-rust-sdk,iFeyz,https://avatars.githubusercontent.com/u/62035583?v=4,126,Fix BasicOrderInfo ,2025-07-30T00:54:02Z,2025-07-30,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/126
hyperliquid-dex,hyperliquid-rust-sdk,edwardycl,https://avatars.githubusercontent.com/u/19164116?v=4,119,Migrate to alloy,2025-07-28T14:09:53Z,2025-07-28,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/119
hyperliquid-dex,node,murakamikaze,https://avatars.githubusercontent.com/u/157380038?v=4,78,fix: protect files in excluded dirs from deletions,2025-07-28T05:43:01Z,2025-07-28,https://github.com/hyperliquid-dex/node/pull/78
hyperliquid-dex,hyperliquid-python-sdk,tushar994,https://avatars.githubusercontent.com/u/54453857?v=4,180,correct documentation comments. max_gas in spot deploy is in HYPE.,2025-07-23T17:37:43Z,2025-07-23,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/180
hyperliquid-dex,hyperliquid-rust-sdk,calumrussell,https://avatars.githubusercontent.com/u/60528020?v=4,123,[feat] Implement schedule cancel,2025-07-22T02:30:40Z,2025-07-22,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/123
