org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1256,Removed very old Bitcoin release notes as of minimal value in the con…,2015-08-18T18:04:43Z,2015-08-18,https://github.com/dogecoin/dogecoin/pull/1256,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1253,Updating docs,2015-08-15T18:31:19Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1253,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1252,Disable AuxPoW mining in the beta client,2015-08-15T18:29:27Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1252,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1251,Corrected installer image file format to BMP3 from BMP,2015-08-15T12:29:11Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1251,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1247,Add attributions to source files,2015-08-15T10:46:52Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1247,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1248,First cut at updating docs to reflect Dogecoin,2015-08-15T10:45:41Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1248,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1250,s/bitcoin/dogecoin/ in init scripts,2015-08-15T10:44:47Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1250,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1249,Replace Bitcoin icons with Dogecoin,2015-08-15T10:17:00Z,2015-08-15,https://github.com/dogecoin/dogecoin/pull/1249,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1245,Update URI tests for Dogecoin,2015-08-14T18:18:49Z,2015-08-14,https://github.com/dogecoin/dogecoin/pull/1245,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1246,"Customize Icons, Strings and DMG of Mac build (and icons for windows)",2015-08-14T17:53:03Z,2015-08-14,https://github.com/dogecoin/dogecoin/pull/1246,,,
