org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2125,Add `@tanstack/eslint-plugin-query` and update `@typescript-eslint/eslint-plugin`,2026-06-29T23:32:41Z,2026-06-29,https://github.com/stellar/laboratory/pull/2125,395,254,649
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2106,Remove 'sign transaction' tab and page & update 'transaction/cli-sign' to use `/import`,2026-06-29T22:45:36Z,2026-06-29,https://github.com/stellar/laboratory/pull/2106,397,1685,2082
stellar,stellar-rpc,urvisavla,https://avatars.githubusercontent.com/u/30014929?v=4,828,Disable jrpc2 built-in rpc.* methods,2026-06-29T21:10:27Z,2026-06-29,https://github.com/stellar/stellar-rpc/pull/828,53,0,53
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2127,Lowercase menu + reorder 'network limits' and 'sign message',2026-06-29T20:18:20Z,2026-06-29,https://github.com/stellar/laboratory/pull/2127,7,7,14
stellar,freighter,piyalbasu,https://avatars.githubusercontent.com/u/6789586?v=4,2850,fix(sidebar): refresh popup allowList after grantAccess succeeds,2026-06-29T19:31:13Z,2026-06-29,https://github.com/stellar/freighter/pull/2850,175,2,177
stellar,wallet-backend,JiahuiWho,https://avatars.githubusercontent.com/u/16715182?v=4,635,"feat(indexer, graphql): record account_merge destination on the merged account",2026-06-29T18:58:34Z,2026-06-29,https://github.com/stellar/wallet-backend/pull/635,140,22,162
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2128,[Query] Type queryFn return instead of useQuery generic,2026-06-29T18:20:28Z,2026-06-29,https://github.com/stellar/laboratory/pull/2128,42,36,78
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2129,[Build Tx/Smart Contract] Auto-fetch contract methods on valid contract id,2026-06-29T17:40:19Z,2026-06-29,https://github.com/stellar/laboratory/pull/2129,13,5,18
stellar,stellar-dev-skill,kaankacar,https://avatars.githubusercontent.com/u/103106776?v=4,34,"Add community skills search, pagination, and an ""Add your skill"" section",2026-06-29T16:23:32Z,2026-06-29,https://github.com/stellar/stellar-dev-skill/pull/34,262,16,278
stellar,rs-stellar-archivist,github-actions[bot],https://avatars.githubusercontent.com/in/15368?v=4,26,Bump version to 0.1.1,2026-06-29T16:20:57Z,2026-06-29,https://github.com/stellar/rs-stellar-archivist/pull/26,2,2,4
stellar,wallet-backend,aditya1702,https://avatars.githubusercontent.com/u/15054664?v=4,640,fix(cmd): always register protocols on migrate up; remove [count] arg,2026-06-29T15:45:41Z,2026-06-29,https://github.com/stellar/wallet-backend/pull/640,40,35,75
stellar,scf-handbook,JFWooten4,https://avatars.githubusercontent.com/u/60260750?v=4,5,🧮 Format formula subtitle variables,2026-06-29T15:44:39Z,2026-06-29,https://github.com/stellar/scf-handbook/pull/5,3,3,6
stellar,scf-handbook,JFWooten4,https://avatars.githubusercontent.com/u/60260750?v=4,4,✏  Small spacing typo,2026-06-29T15:44:07Z,2026-06-29,https://github.com/stellar/scf-handbook/pull/4,1,1,2
stellar,scf-handbook,JFWooten4,https://avatars.githubusercontent.com/u/60260750?v=4,8,✏️ Use Oxford comma and semicolons on long lists,2026-06-29T15:42:37Z,2026-06-29,https://github.com/stellar/scf-handbook/pull/8,3,3,6
stellar,scf-handbook,JFWooten4,https://avatars.githubusercontent.com/u/60260750?v=4,10,🎨 Stylize EM dashes,2026-06-29T15:40:50Z,2026-06-29,https://github.com/stellar/scf-handbook/pull/10,32,32,64
stellar,freighter-backend-v2,piyalbasu,https://avatars.githubusercontent.com/u/6789586?v=4,110,"feat(db): wire up PostgreSQL — connection pool, migrations, db-health",2026-06-29T15:20:01Z,2026-06-29,https://github.com/stellar/freighter-backend-v2/pull/110,1226,17,1243
stellar,freighter,aristidesstaffieri,https://avatars.githubusercontent.com/u/6886006?v=4,2870,feat(token-prices): migrate getTokenPrices to v2 indexer endpoint,2026-06-29T15:17:59Z,2026-06-29,https://github.com/stellar/freighter/pull/2870,483,48,531
stellar,stellar-dev-skill,kaankacar,https://avatars.githubusercontent.com/u/103106776?v=4,38,Prepare v1.2.0 for agent-skills discovery,2026-06-29T15:04:45Z,2026-06-29,https://github.com/stellar/stellar-dev-skill/pull/38,76,3,79
stellar,stellar-dev-skill,kaankacar,https://avatars.githubusercontent.com/u/103106776?v=4,32,"Split soroban skill, rebrand prose, add concrete ZK toolchain walkthroughs",2026-06-29T13:56:21Z,2026-06-29,https://github.com/stellar/stellar-dev-skill/pull/32,1251,2829,4080
